Order_ID,Fecha_Venta,Cliente_ID,Producto,Categoria,Cantidad,Precio_Unitario,Descuento,Total_Venta,Canal_Venta,Estado_Orden
1256,2025-01-21,3,Impresora,Tecnología,2,120000,50,2977016,Distribuidor,
1145,2024-08-12,68,Mouse,Oficina,5,-1000,50,2430254,Tienda,Completada
1292,2024-04-18,27,Laptop,Accesorios,1,350000,50,2664100,Distribuidor,Cancelada
1111,2024-10-30,19,Laptop,Accesorios,2,50000,50,4610986,???,Pendiente
1142,2025-02-25,40,Mouse,Tecnología,10,350000,50,126748,Online,Cancelada
1232,2024-07-16,18,Monitor,Accesorios,10,50000,110,116370,???,Completada
1321,2024-06-05,40,Teclado,Tecnología,0,120000,10,4232600,Tienda,Pendiente
1103,2024-01-06,9,Mouse,Tecnología,2,50000,110,2830443,Distribuidor,Pendiente
1024,2024-02-08,82,Monitor,Tecnología,0,50000,10,2460809,Tienda,
1190,2024-02-21,11,Laptop,Oficina,5,0,0,2888753,???,Cancelada
1342,2024-07-19,67,Impresora,Oficina,1,50000,0,3032804,Distribuidor,
1016,2024-01-01,22,Laptop,Accesorios,0,350000,50,117219,Distribuidor,Cancelada
1045,2024-10-15,6,Mouse,Accesorios,1,50000,110,4664809,Online,Cancelada
1321,2025-03-05,102,Laptop,,2,120000,110,1909149,Tienda,Cancelada
1271,2024-09-25,11,Teclado,Oficina,5,120000,50,1719926,???,
1155,2024-05-26,51,Impresora,,-1,120000,50,-30420,???,Pendiente
1095,2024-02-20,39,Impresora,Oficina,10,0,10,4489172,Online,Pendiente
1061,2025-03-02,100,Impresora,Oficina,-1,120000,0,3149497,Tienda,
1291,2025-01-04,47,Mouse,Oficina,1,0,110,4725705,Online,Pendiente
1234,2024-08-18,41,Monitor,Accesorios,0,-1000,0,3634701,???,Cancelada
1034,2024-04-09,19,Teclado,,2,0,50,4539635,???,Completada
1098,2024-02-13,40,Mouse,Oficina,-1,50000,50,279881,???,Completada
1021,2024-09-02,49,Impresora,Tecnología,0,0,50,4301291,Distribuidor,Pendiente
1008,2024-05-24,92,Laptop,Tecnología,5,120000,50,4995926,???,
1337,2025-03-23,9,Mouse,,-1,50000,50,2244961,???,Pendiente
1068,2025-02-19,109,Laptop,Accesorios,1,50000,0,1661063,Distribuidor,Completada
1263,2024-12-22,81,Impresora,Accesorios,1,0,5,3910304,???,Cancelada
1308,2024-01-14,36,Impresora,Accesorios,1,-1000,0,168309,???,Cancelada
1048,2024-09-18,86,Monitor,Oficina,10,120000,110,4136864,Distribuidor,Pendiente
1044,2025-03-05,85,Mouse,Oficina,-1,0,10,1693541,Distribuidor,Cancelada
1035,2024-03-10,34,Mouse,Accesorios,0,0,50,-56021,Distribuidor,Pendiente
1219,2025-01-21,116,Laptop,Accesorios,2,0,10,3645416,Distribuidor,Completada
1273,2024-12-12,115,Laptop,,10,50000,50,4206857,Distribuidor,Pendiente
1323,2024-01-03,93,Monitor,,5,-1000,0,4679152,Online,
1328,2024-06-07,100,Laptop,Tecnología,-1,50000,10,162770,Distribuidor,Completada
1276,2024-03-02,26,Monitor,,10,0,50,2730643,Distribuidor,Cancelada
1015,2024-03-07,67,Laptop,Accesorios,2,50000,0,1533588,Distribuidor,Cancelada
1118,2025-02-04,32,Mouse,Oficina,2,50000,10,4424178,Tienda,Completada
1004,2024-10-19,100,Monitor,Oficina,1,0,110,1732428,Online,
1304,2024-02-13,75,Impresora,Oficina,0,50000,5,763997,Online,
1034,2024-10-19,37,Impresora,Tecnología,2,0,10,2183423,Tienda,
1221,2024-07-15,3,Impresora,,10,0,5,3245377,???,Completada
1159,2025-03-16,11,Monitor,Accesorios,5,50000,5,3085627,Distribuidor,Pendiente
1023,2024-01-15,81,Mouse,Tecnología,1,120000,10,-66883,Online,
1341,2024-08-21,1,Mouse,Accesorios,0,0,0,1657640,Online,Pendiente
1046,2024-09-25,52,Impresora,,-1,-1000,5,2342437,Online,Cancelada
1186,2024-09-18,101,Teclado,Oficina,1,50000,10,2132273,???,Completada
1107,2024-11-12,5,Monitor,Accesorios,5,-1000,0,3240813,???,Cancelada
1038,2024-05-16,79,Monitor,Tecnología,5,350000,50,4223537,Online,Cancelada
1060,2024-01-06,53,Monitor,Accesorios,10,0,0,537357,???,Pendiente
1079,2024-08-01,109,Impresora,,10,0,110,538052,Tienda,
1331,2024-11-24,8,Impresora,Oficina,2,0,50,3918169,Online,Cancelada
1206,2024-11-09,75,Mouse,Oficina,1,50000,10,4880229,Tienda,Completada
1149,2025-03-09,18,Teclado,,10,350000,110,1711252,Online,Pendiente
1223,2024-10-28,107,Impresora,Oficina,0,-1000,0,2286600,Online,Completada
1097,2024-05-01,1,Laptop,,0,-1000,110,2873430,Distribuidor,Cancelada
1228,2024-04-26,89,Laptop,Oficina,0,0,5,2308651,Tienda,Completada
1009,2024-05-02,16,Teclado,Oficina,0,-1000,110,527620,Online,Cancelada
1044,2024-08-31,51,Monitor,Accesorios,1,350000,110,1372836,Tienda,Completada
1037,2024-03-21,60,Laptop,Accesorios,10,-1000,5,3460088,Tienda,Cancelada
1133,2024-12-28,98,Mouse,Accesorios,-1,120000,5,473278,???,Completada
1087,2024-06-30,110,Mouse,,1,350000,5,593748,???,Cancelada
1287,2024-09-15,115,Mouse,Oficina,2,-1000,0,738060,Distribuidor,Completada
1105,2024-11-15,14,Monitor,Accesorios,5,120000,0,2284274,Tienda,
1327,2025-01-11,78,Mouse,Accesorios,1,0,10,4452035,Distribuidor,Cancelada
1085,2025-01-04,111,Mouse,Tecnología,1,50000,5,1554600,Distribuidor,
1127,2024-05-08,109,Mouse,,10,50000,0,801180,Online,Pendiente
1303,2024-07-11,3,Mouse,,5,0,110,4473876,Tienda,Completada
1085,2025-01-11,108,Mouse,Tecnología,10,-1000,5,1446089,???,
1210,2024-12-08,6,Impresora,Accesorios,1,0,10,14743,Online,Completada
1001,2025-02-19,31,Monitor,,1,350000,50,4561910,Tienda,Pendiente
1276,2024-08-19,108,Impresora,Tecnología,10,50000,50,3904366,???,Completada
1163,2024-09-26,84,Laptop,Tecnología,1,0,50,900950,Online,
1095,2024-03-07,70,Laptop,,-1,50000,5,3523618,???,Pendiente
1222,2024-08-07,101,Mouse,Tecnología,0,350000,0,3817996,Distribuidor,Pendiente
1234,2024-02-25,48,Mouse,,-1,-1000,10,1948910,Distribuidor,Pendiente
1230,2024-05-07,33,Laptop,Accesorios,-1,350000,5,3961805,???,
1174,2024-08-14,55,Laptop,,-1,120000,50,674652,Tienda,Pendiente
1171,2024-12-29,84,Teclado,Accesorios,2,350000,50,3250298,Online,Pendiente
1343,2024-02-01,16,Teclado,Tecnología,5,-1000,10,1134612,Distribuidor,Pendiente
1058,2024-05-11,115,Monitor,,10,50000,0,3246246,Distribuidor,Pendiente
1200,2024-06-03,57,Mouse,,2,-1000,5,4508075,Distribuidor,Cancelada
1031,2025-01-28,41,Laptop,,-1,0,5,476426,???,
1164,2024-06-01,38,Monitor,Oficina,0,350000,10,1339879,Online,
1126,2024-07-07,28,Monitor,Oficina,-1,50000,10,3068265,Tienda,Cancelada
1266,2024-06-13,4,Monitor,Tecnología,10,-1000,0,186725,Tienda,Cancelada
